9555011504081,នំប្រៃកញ្ចប់តូចរសជាតិស្ករ,MENU SUGAR CRACKERS,0011,2,0,0.53,1200,,,,កញ្ចប់=1_0.53|កេស=24_12.5,,,,,,120g X 24កញ្ចប់,120g X 24កញ្ចប់,120g X 24កញ្ចប់,120g X 24កញ្ចប់,120g X 24កញ្ចប់,120g X 24កញ្ចប់,9555011504081.jpg,standard
9555011504074,នំប្រៃកញ្ចប់តូចរសជាតិប្រៃ,MENU CREAM CRACKERS,0011,2,0,0.53,1200,,,,កញ្ចប់=1_0.53|កេស=24_12.5,,,,,,120g X 24កញ្ចប់,120g X 24កញ្ចប់,120g X 24កញ្ចប់,120g X 24កញ្ចប់,120g X 24កញ្ចប់,120g X 24កញ្ចប់,9555011504074.jpg,standard
9556173390168,នំស្នោរប្រអប់សូកូឡា  ,TIP TOP CHCOLATE,0013,9,1.54,1.8,240,,,,ប្រអប់=1_1.8|កេស=12_18.5,,,,,,168g x 12ប្រអប់,168g x 12ប្រអប់,168g x 12ប្រអប់,168g x 12ប្រអប់,168g x 12ប្រអប់,168g x 12ប្រអប់,9556173390168.jpg,standard
9556173390178,នំស្នោរប្រអប់សូកូឡាដោះគោ  ,TIP TOP DOUBLE CHOCO,0013,9,1.54,1.8,240,,,,ប្រអប់=1_1.8|កេស=12_18.5,,,,,,168g x 12ប្រអប់,168g x 12ប្រអប់,168g x 12ប្រអប់,168g x 12ប្រអប់,168g x 12ប្រអប់,168g x 12ប្រអប់,9556173390178.jpg,standard
9556173390185,នំស្នោរប្រអប់ស្ត្របេរី,TIP TOP STRAWERRY,0013,9,1.54,1.8,240,,,,ប្រអប់=1_1.8|កេស=12_18.5,,,,,,168g x 12ប្រអប់,168g x 12ប្រអប់,168g x 12ប្រអប់,168g x 12ប្រអប់,168g x 12ប្រអប់,168g x 12ប្រអប់,9556173390185.jpg,standard
955617339099,នំស្នោរប្រអប់ទឹកដោះគោ  ,TIP TOP MILK,0013,9,1.54,1.8,240,,,,ប្រអប់=1_1.8|កេស=12_18.5,,,,,,168g x 12ប្រអប់,168g x 12ប្រអប់,168g x 12ប្រអប់,168g x 12ប្រអប់,168g x 12ប្រអប់,168g x 12ប្រអប់,955617339099.jpg,standard
9556923003433,នំចង្កឹះកែវមីឡូ,NINI HAZELNUT DIP STICKS ,0014,7,3.35,3.5,160,,,,ដុំ=1_3.35|កេស=8_28,,,,,,35g x 10កែវ x 8ដុំ,35g x 10កែវ x 8ដុំ,35g x 10កែវ x 8ដុំ,35g x 10កែវ x 8ដុំ,35g x 10កែវ x 8ដុំ,35g x 10កែវ x 8ដុំ,9556923003433.jpg,standard
9556923003426,នំចង្កឹះកែវសូកូឡា,NINI CHOCO DIP STICKS ,0014,7,3.35,3.5,160,,,,ដុំ=1_3.35|កេស=8_28,,,,,,35g x 10កែវ x 8ដុំ,35g x 10កែវ x 8ដុំ,35g x 10កែវ x 8ដុំ,35g x 10កែវ x 8ដុំ,35g x 10កែវ x 8ដុំ,35g x 10កែវ x 8ដុំ,9556923003426.jpg,standard
9556923003075,នំចង្កឹះកែវ​សូកូឡានិងសណ្តែកដី,NINI DIP STICKS 2 IN 1( CHCOCO & PEANUT ),0014,7,3.35,3.5,160,,,,ដុំ=1_3.35|កេស=8_28,,,,,,35g x 10កែវ x 8ដុំ,35g x 10កែវ x 8ដុំ,35g x 10កែវ x 8ដុំ,35g x 10កែវ x 8ដុំ,35g x 10កែវ x 8ដុំ,35g x 10កែវ x 8ដុំ,9556923003075.jpg,standard
9556923003570,នំចង្កឹះកែវទំពាំងបាយជូរ,NINI DIP STICKS BLACKCURRANT,0014,7,3.35,3.5,160,,,,ដុំ=1_3.35|កេស=8_28,,,,,,35g x 10កែវ x 8ដុំ,35g x 10កែវ x 8ដុំ,35g x 10កែវ x 8ដុំ,35g x 10កែវ x 8ដុំ,35g x 10កែវ x 8ដុំ,35g x 10កែវ x 8ដុំ,9556923003570.jpg,standard
